Date,Close
8/13/15,1552.55
8/14/15,1552.75
8/17/15,1558.85
8/18/15,1554.53
8/19/15,1576.87
8/20/15,1604.97
8/21/15,1622.89
8/24/15,1624.9
8/25/15,1610.7
8/26/15,1585.8
8/27/15,1572.13
8/28/15,1587.33
8/31/15,1577.85
9/1/15,1598.33
9/2/15,1590.23
9/3/15,1564.56
9/4/15,1573.46
9/6/15,1487.65
9/7/15,1490.42
9/8/15,1563.73
9/9/15,1544.08
9/10/15,1553.42
9/11/15,1546.29
9/14/15,1551.33
9/15/15,1542.59
9/16/15,1554.66
9/17/15,1554.05
9/18/15,1584.71
9/21/15,1582.05
9/22/15,1570.73
9/23/15,1585.51
9/24/15,1610.8
9/25/15,1604.29
9/28/15,1592.52
9/29/15,1588.19
9/30/15,1554.86
10/1/15,1547.09
10/2/15,1562.52
10/5/15,1553.84
10/6/15,1558.34
10/7/15,1564.3
10/8/15,1554.49
10/9/15,1561.61
10/12/15,1579.41
10/13/15,1585.34
10/14/15,1588.23
10/15/15,1589.48
10/16/15,1588.82
10/19/15,1588.44
10/20/15,1590.08
10/21/15,1594.8
10/22/15,1586.78
10/23/15,1590.71
10/26/15,1591.35
10/27/15,1602.28
10/28/15,1607.84
10/29/15,1569.28
10/30/15,1549.37
11/2/15,1545.11
11/3/15,1512.8
11/4/15,1513.02
11/5/15,1513.76
11/6/15,1513.64
11/9/15,1512.95
11/10/15,1512.01
11/11/15,1505.11
11/12/15,1503.26
11/13/15,1506.46
11/16/15,1509.27
11/17/15,1487.08
11/18/15,1484.9
11/19/15,1494.49
11/20/15,1499.07
11/23/15,1489.31
11/24/15,1491.55
11/25/15,1485.32
11/26/15,1423.37
11/27/15,1476.27
11/30/15,1488.04
12/1/15,1484.71
12/2/15,1470.51
12/3/15,1482.84
12/4/15,1513.83
12/7/15,1516.73
12/8/15,1526.42
12/9/15,1527.02
12/10/15,1525.75
12/11/15,1545.25
12/14/15,1525.89
12/15/15,1523.27
12/16/15,1550.09
12/17/15,1529.68
12/18/15,1553.03
12/21/15,1577.47
12/22/15,1564.03
12/23/15,1547.77
12/24/15,1555.2
12/28/15,1554.3
12/29/15,1547.9
12/30/15,1541.15
12/31/15,1537.16
1/4/16,1570.11
1/5/16,1579.01
1/6/16,1606.67
1/7/16,1626.68
1/8/16,1617.97
1/11/16,1618.71
1/12/16,1607.76
1/13/16,1616.72
1/14/16,1599.05
1/15/16,1639.43
1/17/16,1585.2
1/18/16,1585.35
1/19/16,1641.25
1/20/16,1655.98
1/21/16,1617.03
1/22/16,1598.96
1/25/16,1632.84
1/26/16,1633.82
1/27/16,1626.5
1/28/16,1618.69
1/29/16,1609.61
2/1/16,1622.87
2/2/16,1632.38
2/3/16,1618.85
2/4/16,1635.99
2/5/16,1655.07
2/8/16,1712.2
2/9/16,1703.51
2/10/16,1704.64
2/11/16,1774.8
2/12/16,1748.41
2/14/16,1708.11
2/15/16,1671.42
2/16/16,1708.39
2/17/16,1693.14
2/18/16,1721.11
2/19/16,1733.07
2/22/16,1696.86
2/23/16,1728.14
2/24/16,1738.28
2/25/16,1716.28
2/26/16,1689.59
2/29/16,1712.43
3/1/16,1693.08
3/2/16,1710.05
3/3/16,1731.94
3/4/16,1740.48
3/7/16,1728.59
3/8/16,1745.17
3/9/16,1716.01
3/10/16,1750.43
3/11/16,1720.16
3/14/16,1705.44
3/15/16,1698.32
3/16/16,1666.54
3/17/16,1693.82
3/18/16,1681.62
3/21/16,1682.43
3/22/16,1683.37
3/23/16,1671.07
3/24/16,1674.26
3/25/16,1615.16
3/28/16,1664.29
3/29/16,1670.33
3/30/16,1644.71
3/31/16,1654.83
4/1/16,1639.86
4/4/16,1643.81
4/5/16,1663.38
4/6/16,1649.61
4/7/16,1674.29
4/8/16,1660.78
4/11/16,1669.12
4/12/16,1656.33
4/13/16,1647.1
4/14/16,1623.12
4/15/16,1629.95
4/18/16,1625.93
4/19/16,1637.48
4/20/16,1637.31
4/21/16,1644.17
4/22/16,1609.4
4/25/16,1623.89
4/26/16,1618.23
4/27/16,1626.94
4/28/16,1641.9
4/29/16,1672.99
5/2/16,1677.02
5/3/16,1697.11
5/4/16,1692.96
5/5/16,1685.22
5/6/16,1721.18
5/9/16,1692.85
5/10/16,1684.01
5/11/16,1691.39
5/12/16,1684.22
5/13/16,1698.98
5/16/16,1695.81
5/17/16,1701.34
5/18/16,1717.41
5/19/16,1701.19
5/20/16,1703.65
5/23/16,1706.14
5/24/16,1674.54
5/25/16,1654.56
5/26/16,1644.26
5/27/16,1641.58
5/30/16,1581.62
5/31/16,1653.05
6/1/16,1648.36
6/2/16,1647.94
6/3/16,1665.68
6/6/16,1656.88
6/7/16,1645.57
6/8/16,1659.64
6/9/16,1676.68
6/10/16,1688.83
6/13/16,1709.15
6/14/16,1710.77
6/15/16,1716.43
6/16/16,1737.52
6/17/16,1724.18
6/20/16,1712.8
6/21/16,1689.44
6/22/16,1689.7
6/23/16,1672.88
6/24/16,1782.16
6/27/16,1793.86
6/28/16,1778.49
6/29/16,1778.19
6/30/16,1768.77
7/1/16,1792.56
7/3/16,1737.92
7/4/16,1736.67
7/5/16,1827.49
7/6/16,1835.77
7/7/16,1832.4
7/8/16,1834.22
7/11/16,1843.17
7/12/16,1806.44
7/13/16,1808.07
7/14/16,1781.62
7/15/16,1787.03
7/18/16,1786.02
7/19/16,1803.02
7/20/16,1791.75
7/21/16,1812.33
7/22/16,1809
7/25/16,1815.65
7/26/16,1813.53
7/27/16,1825.51
7/28/16,1829.89
7/29/16,1835.22
8/1/16,1848.16
8/2/16,1863.53
8/3/16,1850.25
8/4/16,1848.48
8/5/16,1843.56
8/8/16,1838.2
8/9/16,1839.85
8/10/16,1838.21
8/11/16,1826.82
8/12/16,1811.34
8/15/16,1812.27
8/16/16,1814.92
8/17/16,1801.8
8/18/16,1803.91
8/19/16,1802.16
8/22/16,1809.04
8/23/16,1807.72
8/24/16,1787.1
8/25/16,1778.14
8/26/16,1788.19
8/29/16,1790.45
8/30/16,1789.91
8/31/16,1782.2
9/1/16,1788.39
9/2/16,1790.72
9/4/16,1723.97
9/5/16,1720.88
9/6/16,1802.47
9/7/16,1802.89
9/8/16,1800.96
9/9/16,1807.67
9/12/16,1795.15
9/13/16,1809.09
9/14/16,1815.02
9/15/16,1799.42
9/16/16,1795.54
9/19/16,1804.7
9/20/16,1803.09
9/21/16,1808.86
9/22/16,1815.47
9/23/16,1829.08
9/26/16,1840.52
9/27/16,1817.92
9/28/16,1792.54
9/29/16,1804.18
9/30/16,1790.86
10/3/16,1783.78
10/4/16,1735.88
10/5/16,1732.77
10/6/16,1716.93
10/7/16,1726.33
10/10/16,1722.79
10/11/16,1728.38
10/12/16,1727.83
10/13/16,1722.73
10/14/16,1713.44
10/17/16,1713.48
10/18/16,1720.15
10/19/16,1729.84
10/20/16,1742.69
10/21/16,1756.2
10/24/16,1741.73
10/25/16,1767.56
10/26/16,1762.21
10/27/16,1769.88
10/28/16,1781.05
10/31/16,1777.93
11/1/16,1795.13
11/2/16,1821.91
11/3/16,1817.26
11/4/16,1820.78
11/7/16,1781.13
11/8/16,1765.61
11/9/16,1782.71
11/10/16,1776.94
11/11/16,1727.11
11/14/16,1733.36
11/15/16,1724.99
11/16/16,1723.95
11/17/16,1724.95
11/18/16,1712.16
11/21/16,1702.36
11/22/16,1706.72
11/23/16,1684.25
11/24/16,1599.5
11/25/16,1674.06
11/28/16,1677.04
11/29/16,1675.35
11/30/16,1652.83
12/1/16,1631.82
12/2/16,1640.79
